180518/0656/301;Право заключения договора на Поставка перчаток трикотажных;"Филиал АО ""Концерн Росэнергоатом"" ""Курская атомная станция""";2 123 988,72;30.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180656301
180518/0467/491;Право заключения договора на Поставка мясопродуктов из свинины в ассортименте согласно ТЗ;"Федеральное государственное унитарное предприятие ""Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики""";19 983 198,00;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180467491
180518/0480/294;"тележка инструментальная производства ООО ""Феррум""";"Федеральное государственное унитарное предприятие ""Уральский электромеханический завод""";235 800,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180480294
180518/6087/122;Право заключения договора на Изготовление и поставка оборудования из состава ЭКП для энергоблока №2 Ленинградской АЭС-2;"Акционерное общество ""Русатом Автоматизированные системы управления""";21 154 979,06;07.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805186087122
180518/0464/375;Поставка профилей пластиковых и аксессуаров;"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";824 984,00;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464375
180515/0513/712;Ф 07:Поставка панелей КИПиА;"Акционерное общество ""Российский концерн по производству электрической и тепловой энергии на атомных станциях""";41 967 390,49;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805150513712
180518/0467/487;Право заключения договора на Поставка семян люцерны;"Федеральное государственное унитарное предприятие ""Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики""";118 489,70;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180467487
180518/0464/372;Право заключения договора на Поставка приборов для диагностики и регулирования процессов;"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";10 510 680,71;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464372
180517/0643/057;Поставка мембранного насоса Tapflo TR20 PTT;"Общество с ограниченной ответственностью ""Аргон""";273 253,40;23.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170643057
180518/0477/346;Рым-болт, опора;"Федеральное государственное унитарное предприятие ""Комбинат ""Электрохимприбор""";767 721,24;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180477346
180518/0464/371;Поставка светодиодных светильников;"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";217 350,01;10.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464371
180518/1662/091;Право заключения договора на Поставка молочной продукции;"Общество с ограниченной ответственностью ""Белоярская АЭС - Авто""";3 627 066,50;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805181662091
180518/0464/370;Право заключения договора на Поставка карбогидразида;"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";3 696 623,98;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464370
180517/0477/345;Поставка ленты марки 12Х18Н9 с дополнительным требованием п. 2.6 ГОСТ 4986-79;"Федеральное государственное унитарное предприятие ""Комбинат ""Электрохимприбор""";563 922,00;18.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170477345
180518/0464/369;Право заключения договора на Поставка электросварочного оборудования (Лот 8023-С);"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";115 863,92;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464369
180518/0464/368;Право заключения договора на Поставка оборудования газоанализа (Лот 8077-С);"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";1 408 973,10;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464368
180518/0464/366;Право заключения договора на Поставка шкафов ШСАУ (лот 8148-С);"Федеральное государственное унитарное предприятие ""Горно-химический комбинат""";1 360 226,30;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180464366
